"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14028A-1_102",1,102,7,12,"test"," (Operator: lizbethpino, Time: )","GM14028A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14030A-1_72",1,72,5,12,"test"," (Operator: lizbethpino, Time: )","GM14030A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14030A-2_30",1,30,2,1,"test"," (Operator: lizbethpino, Time: )","GM14030A-2","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14043A-12_66",1,66,5,6,"test"," (Operator: lizbethpino, Time: )","GM14043A-12","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.5269066893907,140,13.8020833333333,10.6,4,1,NA,NA,9,10,2,240,30,4,3,1,2,3,5000,306,1,6,2,2,1,5,6,60,13.8020833333333,3.66126576702527
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14043A-8_57",1,57,4,4,"test"," (Operator: lizbethpino, Time: )","GM14043A-8","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,24.8689189189189,95,1.82291666666667,1.4,4,1,NA,NA,6,10,3,250,20,1,3,1,3,3,1600,83,0,2,1,3,1,5,6,20,1.82291666666667,0.453339667792793
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14043B-3_46",1,46,4,15,"test"," (Operator: lizbethpino, Time: )","GM14043B-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,23.1739861949957,260,15.625,12,4,1,NA,NA,10,10,1,260,30,6,3,1,2,3,4840,204,0,9,1,2,1,5,6,90,15.625,3.62093534296808
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14095A-2_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","GM14095A-2","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14095A-3_117",1,117,8,4,"test"," (Operator: lizbethpino, Time: )","GM14095A-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,3,27.6164944458796,90,11.0677083333333,8.5,4,1,NA,NA,10,10,2,270,40,2,3,2,2,3,4150,279,0,3,1,3,1,5,6,30,11.0677083333333,3.05651305716114
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14097A-1_78",1,78,6,13,"test"," (Operator: lizbethpino, Time: )","GM14097A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14099A-1_106",1,106,8,15,"test"," (Operator: lizbethpino, Time: )","GM14099A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,16.5271543086172,280,16.9270833333333,13,5,2,NA,NA,12,10,2,280,40,6,1,1,2,3,5000,10,0,9,1,3,1,5,6,90,16.9270833333333,2.79756518244822
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14099A-11_62",1,62,5,2,"test"," (Operator: lizbethpino, Time: )","GM14099A-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,26.0335496813783,125,16.9270833333333,13,4,1,NA,NA,10,10,2,245,30,5,3,2,2,3,4500,263,0,8,1,2,1,5,6,80,16.9270833333333,4.40672064919163
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14099A-12_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","GM14099A-12","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,20.4989865634252,270,11.71875,9,4,2,NA,NA,8,10,3,270,50,6,3,1,2,2,4510,119,1,9,1,2,1,5,6,90,11.71875,2.40222498790139
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-10_101",1,101,7,11,"test"," (Operator: lizbethpino, Time: )","GM14101A-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-11_107",1,107,8,14,"test"," (Operator: lizbethpino, Time: )","GM14101A-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,27.2482456140351,330,23.4375,18,5,1,NA,NA,12,10,2,330,50,5,3,1,1,2,5000,326,0,10,1,2,1,5,6,100,23.4375,6.38630756578948
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-3_49",1,49,4,12,"test"," (Operator: lizbethpino, Time: )","GM14101A-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-4_112",1,112,8,9,"test"," (Operator: lizbethpino, Time: )","GM14101A-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-6_91",1,91,7,1,"test"," (Operator: lizbethpino, Time: )","GM14101A-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
